"No.","Time","Source","Destination","MAC src","Protocol","Length","MAC dst","Info"
"121","0.031506683","10.10.0.1","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","81","d6:a1:12:c1:81:dd","Standard query 0x44e0 A datos.tpfinal-tyr.com"
"122","0.031690124","8.8.8.8","10.10.0.1","d6:a1:12:c1:81:dd","DNS","97","5a:6a:8b:8c:c7:96","Standard query response 0x44e0 A datos.tpfinal-tyr.com A 12.12.0.12"
"123","0.059913083","10.10.0.10","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","81","d6:a1:12:c1:81:dd","Standard query 0xaf0c A proxy.tpfinal-tyr.com"
"124","0.060265319","8.8.8.8","10.10.0.10","d6:a1:12:c1:81:dd","DNS","97","5a:6a:8b:8c:c7:96","Standard query response 0xaf0c A proxy.tpfinal-tyr.com A 10.10.0.1"
"125","0.060765210","10.10.0.10","8.8.8.8","5a:6a:8b:8c:c7:96","DNS","81","d6:a1:12:c1:81:dd","Standard query 0x2602 AAAA proxy.tpfinal-tyr.com"
"126","0.060856229","8.8.8.8","10.10.0.10","d6:a1:12:c1:81:dd","DNS","126","5a:6a:8b:8c:c7:96","Standard query response 0x2602 AAAA proxy.tpfinal-tyr.com SOA dns.tpfinal-tyr.com"
"127","0.007269505","4e:83:fc:5d:2f:1f","Broadcast","4e:83:fc:5d:2f:1f","ARP","60","ff:ff:ff:ff:ff:ff","Who has 12.12.0.11? Tell 12.12.0.1"
"128","0.007467043","6a:94:a9:bd:77:91","4e:83:fc:5d:2f:1f","6a:94:a9:bd:77:91","ARP","60","4e:83:fc:5d:2f:1f","12.12.0.11 is at 6a:94:a9:bd:77:91"
"129","0.007601924","10.10.0.1","12.12.0.11","4e:83:fc:5d:2f:1f","TCP","74","6a:94:a9:bd:77:91","[TCP Retransmission] 47548  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1575292112 TSecr=0 WS=128"
"130","0.007734150","12.12.0.11","10.10.0.1","6a:94:a9:bd:77:91","TCP","74","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  47548 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1709114237 TSecr=1575292112 WS=128"
"131","0.008618477","10.10.0.1","12.12.0.11","4e:83:fc:5d:2f:1f","TCP","66","6a:94:a9:bd:77:91","47548  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1575292113 TSecr=1709114237"
"132","0.009084224","10.10.0.1","12.12.0.11","4e:83:fc:5d:2f:1f","ICMP","78","6a:94:a9:bd:77:91","Echo (ping) request  id=0x4c00, seq=256/1, ttl=62 (reply in 133)"
"133","0.009176526","12.12.0.11","10.10.0.1","6a:94:a9:bd:77:91","ICMP","78","4e:83:fc:5d:2f:1f","Echo (ping) reply    id=0x4c00, seq=256/1, ttl=64 (request in 132)"
"134","0.010627037","10.10.0.1","12.12.0.11","4e:83:fc:5d:2f:1f","TCP","413","6a:94:a9:bd:77:91","[TCP Retransmission] 47548  >  80 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=347 TSval=1575292114 TSecr=1709114237"
"135","0.010769863","12.12.0.11","10.10.0.1","6a:94:a9:bd:77:91","TCP","66","4e:83:fc:5d:2f:1f","80  >  47548 [ACK] Seq=1 Ack=348 Win=64896 Len=0 TSval=1709114239 TSecr=1575292114"
"136","0.010861824","12.12.0.11","10.10.0.1","6a:94:a9:bd:77:91","TCP","559","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  47548 [PSH, ACK] Seq=1 Ack=348 Win=64896 Len=493 TSval=1709114240 TSecr=1575292114"
"137","0.011159638","12.12.0.11","10.10.0.1","6a:94:a9:bd:77:91","TCP","66","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  47548 [FIN, ACK] Seq=494 Ack=348 Win=64896 Len=0 TSval=1709114240 TSecr=1575292114"
"138","0.012281958","10.10.0.1","12.12.0.11","4e:83:fc:5d:2f:1f","TCP","66","6a:94:a9:bd:77:91","[TCP Keep-Alive] 47548  >  80 [ACK] Seq=348 Ack=494 Win=64128 Len=0 TSval=1575292117 TSecr=1709114240"
"139","0.019968389","10.10.0.1","12.12.0.11","4e:83:fc:5d:2f:1f","TCP","66","6a:94:a9:bd:77:91","[TCP Retransmission] 47548  >  80 [FIN, ACK] Seq=348 Ack=494 Win=64128 Len=0 TSval=1575292117 TSecr=1709114240"
"140","0.020065530","12.12.0.11","10.10.0.1","6a:94:a9:bd:77:91","TCP","66","4e:83:fc:5d:2f:1f","80  >  47548 [ACK] Seq=495 Ack=349 Win=64896 Len=0 TSval=1709114249 TSecr=1575292117"
"141","0.021187058","10.10.0.1","12.12.0.11","4e:83:fc:5d:2f:1f","TCP","66","6a:94:a9:bd:77:91","47548  >  80 [ACK] Seq=349 Ack=495 Win=64128 Len=0 TSval=1575292118 TSecr=1709114240"
